"Experiment","Group","Genotype","Diet","Fish_ID","Fish_Number","Fish_Pair","Stratum","Mean_Feret","Mean_Area","SD_Feret","Count_LDs"
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","1",73.5730357142857,2737.28296428571,21.22056434388,28
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","2",65.1572823529412,2410.65714117647,28.821850880973,85
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","3",67.6523139534884,2500.1351744186,25.8516863590396,86
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","4",77.7221078431373,3218.79971568627,22.6399501192935,102
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","5",62.3921203703704,2370.39556481481,24.0927326587642,108
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","6",68.4591688311688,2546.45131168831,21.7113957946674,77
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","7",49.9402698412698,1449.76514285714,17.2343868277707,63
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","8",43.053,1071.52639583333,15.9648529749146,48
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","9",38.6429444444444,886.44412962963,13.6449580797031,54
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","10",33.2707083333333,730.244104166667,13.0962895004302,48
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","11",34.4495128205128,739.965641025641,10.7729853138394,39
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","12",29.9390588235294,579.129352941176,9.56278786198902,34
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","13",34.0668,708.461,8.41605638221201,15
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","14",27.0638125,497.3611875,12.3807308142869,16
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","15",31.4854,643.5707,7.5038973607053,10
"foxp1a","ed116_con","Mutant","Control","ed116_con_1_CO_cp_masks_merged","1","Mutant_1","16",19.8329285714286,310.598357142857,12.3652246205875,14
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","1",14.8865384615385,157.170230769231,5.59384165273718,13
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","2",19.9766976744186,287.408023255814,11.0940298434937,43
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","3",27.4533448275862,495.471362068966,12.462256950491,58
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","4",24.2904210526316,430.803131578947,12.9138197870963,38
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","5",14.0603076923077,144.337807692308,6.90987048080776,26
"foxp1a","ed116_con","Mutant","Control","ed116_con_2_CO_cp_masks_merged","2","Mutant_2","6",10.928,90.993,8.02849039359206,2
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","1",64.9141428571428,2053.061,11.9264750510307,7
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","2",50.2879857142857,1442.8936,20.4651673483017,70
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","3",60.6062692307692,2066.22642307692,18.821913978351,52
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","4",67.208511627907,2283.04018604651,21.3368997651755,43
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","5",56.6123606557377,1921.12003278689,21.4206149577401,61
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","6",54.4057446808511,1839.34334042553,21.3627190465968,47
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","7",41.789,1096.00242307692,18.8011864248082,52
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","8",37.45625,822.079916666667,13.3108775547885,36
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","9",34.2169259259259,675.454259259259,8.93419906842813,27
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","10",25.1592051282051,402.576384615385,11.3653273141083,39
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","11",39.5097647058824,827.211764705882,9.86566818903699,17
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","12",27.4745925925926,474.268037037037,9.58083998348651,27
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","13",26.4838888888889,439.954,8.08791593812783,18
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","14",26.23475,439.111666666667,9.22825325858287,12
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","15",19.928619047619,298.584,11.7259515540368,21
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","16",23.9736666666667,395.2235,8.21600186627697,6
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","17",21.3593333333333,333.642333333333,11.361713617819,3
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","18",19.6295,286.07725,8.24829491470813,4
"foxp1a","ed116_con","Mutant","Control","ed116_con_3_CO_cp_masks_merged","3","Mutant_3","19",23.775,350.186,NA,1
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","1",42.30375,1090.04839285714,16.5475240726577,28
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","2",37.4947619047619,835.221261904762,16.9701088284444,42
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","3",43.5087777777778,1163.67248888889,21.4210380201004,45
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","4",38.3614736842105,888.526921052632,19.1473423570251,38
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","5",33.0983421052632,744.127710526316,17.6634950327418,38
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","6",26.1850526315789,412.590052631579,13.8842523244209,19
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","7",17.8136,225.0016,7.54582452751189,5
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","8",18.1118,196.3246,2.51106206613855,5
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","9",21.265,292.281,NA,1
"foxp1a","ed116_con","Mutant","Control","ed116_con_4_CO_cp_masks_merged","4","Mutant_4","10",18.90425,247.47425,7.46163281393557,4
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","1",47.6818787878788,1236.38909090909,17.194863703948,33
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","2",52.5875428571429,1426.2706,24.6090498733134,35
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","3",56.7666904761905,1788.22169047619,20.8786471427536,42
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","4",44.1955666666667,1109.10713333333,21.3027102042704,30
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","5",43.3565806451613,1063.72303225806,17.1343855580413,31
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","6",37.5953076923077,961.262461538462,18.4677621789278,13
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","7",28.6484545454545,595.091090909091,13.6310149392012,11
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","8",27.1173333333333,511.339444444444,13.9649906462554,9
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","9",26.938,386.82,5.94166239364035,7
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","10",21.3876363636364,273.230545454545,9.14300872003005,11
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","11",20.6162857142857,252.496714285714,8.91601984658861,7
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","12",22.396,313.2376,4.27137682720689,5
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","13",13.3725,102.71225,4.132759570392,4
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","14",28.5202,505.7021,10.0258954579296,10
"foxp1a","ed116_con","Mutant","Control","ed116_con_5_CO_cp_masks_merged","5","Mutant_5","15",19.271,202.667,1.31521861300698,2
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","1",57.8320714285714,1797.019,17.20000335628,14
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","2",63.820375,2188.1473125,25.7737540755157,32
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","3",69.5784807692308,2653.38759615385,19.5117661852096,52
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","4",63.0063636363636,2243.24772727273,25.4870921777799,44
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","5",56.4629285714286,1989.3785,25.7219217887577,42
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","6",45.3846875,1373.5161875,19.0774577541794,16
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","7",28.3066428571429,630.453571428571,20.6361219359391,14
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","8",29.562,589.5262,10.7071372924793,5
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","9",21.27325,356.39025,12.3944870204458,8
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","10",19.6223333333333,250.001666666667,6.95460799278675,3
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_1_CO_cp_masks_merged","1","Mutant_1","11",18.565,223.347,NA,1
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","1",27.1642857142857,826.817714285714,29.3073217458042,14
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","2",61.2897659574468,2410.23678723404,33.136361915059,47
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","3",85.1722619047619,3517.09414285714,24.0144124947149,42
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","4",82.4655094339623,3342.55967924528,21.2263795181144,53
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","5",59.3806666666667,2123.45639130435,27.4605399520983,69
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","6",58.4446578947368,1911.80236842105,18.9336916365486,38
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","7",59.2175416666667,2025.23258333333,32.6507893019569,48
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","8",51.5770303030303,1579.22239393939,19.3048172979001,33
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","9",48.31725,1450.37783333333,22.1032436754939,24
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","10",43.8978421052632,1216.43663157895,22.2151566510173,19
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","11",33.6275263157895,897.597368421053,23.8876263049592,19
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","12",37.1540769230769,1032.10576923077,21.9288384190831,13
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","13",41.2005,1085.94516666667,19.5816398572745,6
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_2_CO_cp_masks_merged","2","Mutant_2","14",32.2386,663.9752,6.17798270473461,5
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","1",69.73,2970.7931,26.69111784429,10
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","2",91.5525238095238,4429.39047619048,28.8026836312505,21
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","3",88.6235172413793,3995.52772413793,19.365190070663,29
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","4",92.234875,4777.4923125,24.331019027502,16
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","5",75.7128,3310.914925,27.8521261538919,40
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","6",82.8706428571429,3830.4825,23.7665125742461,28
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","7",49.7050588235294,1609.49441176471,24.2134877688825,17
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","8",67.1848837209302,2591.60939534884,31.4658862498128,43
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","9",59.8513448275862,2270.07810344828,23.5361068274074,29
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","10",55.05496875,1795.13559375,21.1999929420018,32
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","11",59.4298571428571,2049.35797142857,22.3343397499731,35
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","12",56.8813243243243,1863.164,16.1482591099097,37
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","13",44.2341111111111,1254.97208888889,19.950776608514,45
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","14",59.7068846153846,1782.00492307692,17.7713711554892,26
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","15",51.0469166666667,1571.932,25.0267995936659,12
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","16",41.8858333333333,1270.38283333333,29.9985309096178,18
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","17",47.7058333333333,1419.35741666667,28.0711907667025,12
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_3_CO_cp_masks_merged","3","Mutant_3","18",56.4985,1959.113,6.98833631846665,2
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","1",66.2993157894737,2464.22021052632,21.0223933064248,38
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","2",67.9580465116279,2448.03369767442,19.379653022784,43
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","3",74.5783148148148,3052.71761111111,20.2594049697717,54
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","4",77.3149166666667,3006.27116666667,16.8670607129586,60
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","5",70.2025789473684,2479.02289473684,24.9880745942146,38
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","6",50.1715,1596.863265625,23.2700749543475,64
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","7",38.631447368421,1031.32984210526,18.3596099951178,38
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","8",49.6017777777778,1325.98977777778,13.2774383897815,9
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","9",43.7595384615385,997.320461538461,18.6763690734905,13
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","10",33.5504,646.3282,11.4403465113606,5
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","11",44.4783333333333,1085.02616666667,7.93659497937665,6
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","12",41.251,1002.0292,9.18304206132151,5
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","13",42.860375,923.030375,6.40790172783349,8
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","14",26.4816666666667,468.753,12.592327994987,3
"foxp1a","ed116_hfd","Mutant","HFD","ed116_hfd_4_CO_cp_masks_merged","4","Mutant_4","15",27.487,479.783,NA,1
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","1",85.508875,3751.74975,17.2364228177882,8
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","2",70.3874054054054,2637.46391891892,23.3400527913564,37
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","3",71.33490625,3037.2455625,34.5672652751679,32
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","4",83.1170769230769,3592.96219230769,26.5756584760161,26
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","5",63.2974193548387,2587.92741935484,37.886485734603,31
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","6",57.3755862068965,2338.82231034483,36.4450106074865,29
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","7",33.1141923076923,1016.51592307692,28.9472513514071,26
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","8",35.42575,876.155083333333,21.9056553060246,12
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","9",65.8302,1926.8518,33.8255465839061,5
"foxp1b","ed125_con","Mutant","Control","ed125_con_1_cp_masks_merged","1","Mutant_1","10",37.984,1031.8088,23.343012306803,10
"foxp1b","ed125_con","Mutant","Control","ed125_con_2_cp_masks_merged","2","Mutant_2","1",41.9985,1043.6655,26.8136904646364,4
"foxp1b","ed125_con","Mutant","Control","ed125_con_2_cp_masks_merged","2","Mutant_2","2",33.9222857142857,778.760785714286,20.8797581382565,14
"foxp1b","ed125_con","Mutant","Control","ed125_con_2_cp_masks_merged","2","Mutant_2","3",29.84535,635.16085,18.3693281408095,20
"foxp1b","ed125_con","Mutant","Control","ed125_con_2_cp_masks_merged","2","Mutant_2","4",14.5560714285714,170.169214285714,8.11198488907982,14
